รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
AR68-0033,HW กรมกิจการผู้สูงอายุ งบ69,"$1,900,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0025,AR68-0025_ลิขสิทธิ์การใช้งาน 69 สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0040,Business Intelligence กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0034,HW ครุภํณฑ์คอมพิวเตอร์ที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท สอน,"$559,700.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0030,HW-NAS Storage Synology,"$70,000.00 ",,,,,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0022,จ้างเหมาบริการจัดการโครงการ Government Information Network (GIN) พร้อมจัดทำรายงาน สำหรับสำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน),"$1,920,000.00 ",ใบสั่งจ้างเลขที่ 3600006737,11/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0005,MA_Network สผ,"$1,997,000.00 ",Mar-68,17/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0032,HW PC ประมวลผลแบบที่ 1 จำนวน 1 เครื่อง สอน,"$44,200.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0021,กล้องลานจอดรถ จุฬา,"$243,746.00 ", อว 64.12/1564,27/03/2025 0:00,28/03/2025 0:00,26/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0055,Dev_Security สมช ปี68,"$30,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0016,Dev ระบบยื่นคำขอใบอนุญาตทำเหมืองแร่ (ประทานบัตร) กพร,"$8,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0106,HDD สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0037,ทำมาตรฐานข้อมูลระบบชีวสารสนเทศเพื่อพัฒนา,"$106,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ35/67,14/03/2024 0:00,15/03/2024 0:00,13/04/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0040,adapter surfacepro7+,"$8,645.00 ",อว 64.12/1997,24/04/2025 0:00,25/04/2025 0:00,23/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0035,Dev ระบบฐานข้อมูลองค์ความรู้ดิจิทัล,"$1,050,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0007,ปรับปรุงเครือข่าย สผ 69,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0019,งานจ้างเหมาบริการระบบบริหารจัดการและควบคุมดูแลระบบเครือข่ายโทรคมนาคม สำหรับ MUDA Platform สำหรับให้บริการแก่ บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด จำนวน 1 งาน ,"$1,914,500.00 ",ใบสั่งจ้างเลขที่ 360006785,13/11/2024 0:00,01/11/2024 0:00,30/09/2027 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0002,Rent - PC 105 set งบปี 68 3 เดือน ตค-ธค 67,"$407,925.00 ",ใบสั่งซื้อเลขที่ 12/68,09/10/2024 0:00,01/10/2024 0:00,31/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0036,Dev- บริหารจัดการระบบเว็บท่า (Web Portal) งบปี 68,"$15,379,000.00 ",AIT680106/01,27/11/2024 0:00,27/11/2024 0:00,25/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0010,ปรับปรุงสายสัญญาณเครือข่าย ปี68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0007,HW ของบ 68 กสอ,"$10,600,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0012,HW-PC ICT SU,"$2,287,400.00 ",ICT4/2567,23/07/2024 0:00,24/08/2024 0:00,22/09/2024 0:00,22/09/2025 0:00,ได้งาน/เซ็นสัญญาแล้ว
NT68-0012,งาน พ่อบ้าน ,$0.00 ,,,,,,ได้งาน
AR67-0015,Dev ระบบยื่นคำขอใบอนุญาตสำรวจแร่ (อาชญาบัตร) กพร,"$4,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0060,External 3 unit,"$11,074.50 ",ใบสั่งซื้อเลขที่ 109/2567 ,10/07/2024 0:00,11/07/2024 0:00,10/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0112,ปรับปรุงฐานข้อมูลองค์ความรู้ด้านข้าว,"$499,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ18/68,02/12/2024 0:00,03/12/2024 0:00,16/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0038,HW WAF สผ,"$1,497,000.00 ",48/2567,25/09/2024 0:00,26/09/2024 0:00,22/01/2025 0:00,,จบงาน/ช่วงรับประกัน
AP68-0099,ห้องประชุม สป,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0029,HW-AIO,"$500,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0067,HW-CCTV ปั๊ม ปตท,"$6,955.00 ",SA67-0067,12/12/2024 0:00,12/12/2024 0:00,15/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0010,สัญญาจ้างปรับปรุงระบบรายงานการนำเข้า-ส่งออกสินค้าเกษตรตามพันธกรณีความตกลงระหว่างประเทศ (DFT-TRQ Report) ประจำปีงบประมาณ พ.ศ.2568  ,"$1,045,000.00 ",48/2568,28/05/2025 0:00,29/05/2025 0:00,23/01/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0071,Dev_MA จ้างบำรุงรักษาระบบงานการให้บริการออกหนังสือสำคัญการส่งออก-นำเข้าสินค้า ด้วยระบบลายมือชื่ออิเล็กทรอนิกส์ (Digital Signature) ประจำปีงบประมาณ พ.ศ. 2568 ,"$1,000,000.00 ",สัญญาเลขที่ 8/2568,11/10/2024 0:00,01/10/2024 0:00,30/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0044,HW iot OCSB,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0079,วัสดุ 3 รายการ,"$7,383.00 ",ใบสั่งซื้อเลขที่ พอ.157/2567,29/08/2024 0:00,30/08/2024 0:00,29/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0010,งานซ่อมบำรุงอาคารสถานที่ (ไฟฟ้า ประปา),$0.00 ,,,,,,ได้งาน
AP67-0070, Adobe Creative Cloud สิงหา,"$51,360.00 ",,,,,,ได้งาน/เซ็นสัญญาแล้ว
NP67-0006,ซื้อครุภัณฑ์ 3 รายการ,"$24,999.99 ",011/67,20/09/2024 0:00,21/09/2024 0:00,18/10/2024 0:00,,จบงาน/ช่วงรับประกัน
AR67-0084,HW Tablet + Storage สผ,"$565,000.00 ",46/2567,16/09/2024 0:00,17/09/2024 0:00,16/10/2024 0:00,,จบงาน/ช่วงรับประกัน
SA68-0035,HW- หมึกพิมพ์ Brother TN-2560 TONER ,"$5,136.00 ",ใบสั่งซื้อเลขที่ 467/68,16/06/2025 0:00,17/06/2025 0:00,31/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0003,MA Network 68,"$2,492,000.00 ",ศสส.สจ1/68,28/10/2024 0:00,29/10/2024 0:00,28/10/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0077,Dev_บำรุงรักษาระบบบริหารจัดการการให้บริการข้อมูลการนำเข้าส่งออกภายใต้ NSW และความตกลงทางการค้า (e-Report) ประจำปีงบปะมาณ พ.ศ. 2568,"$250,000.00 ",13/2567,17/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0041,HW HDD lenovo สผ,"$332,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0049,เช่าเครืองสแกนเนอร์ สอน,"$300,000.00 ",18/68,23/04/2025 0:00,23/04/2025 0:00,31/10/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0006,AR67-0006_HW ของบ 68 สอน,"$26,331,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0028,HW ปรุบปรุงระบบเครือข่าย สผ 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0051,การพัฒนาระบบฐานข้อมูลสมาชิกและระบบลงลายมือชื่ออิเล็กทรอนิกส์สำหรับการลงนามสัญญา  ,"$4,990,000.00 ",67000490,23/09/2024 0:00,24/09/2024 0:00,23/09/2025 0:00,22/09/2026 0:00,ได้งาน/เซ็นสัญญาแล้ว
AP67-0033,MA ทหารผ่านศึก,"$470,000.00 ",,,,,,งานช่วย
CC67-0094,ค่าบริการตรวจเช็๋คเครื่องกำเนิดไฟฟ้า ,"$500,000.00 ",ใบสั่งซื้อเลขที่ TTLPO10030505,19/03/2025 0:00,19/03/2025 0:00,18/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0038,กล้องวงจรปิด 8 unit เพิ่มเติม,"$90,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0014,HW-ภาระงานประจำ-2 งบปี 69,"$7,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0007,DEV-งผลรายงานสำหรับผู้บริหาร (Data Visualization) งบปี 69,"$86,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0053,ที่ปรึกษา IT TPQI,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0016,AR68-0016_Dev NSW กพร ของบ,$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ67-0055,MA_บำรุงรักษาและซ่อมบำรุงศูนย์คอมพิวเตอร์แม่ข่ายและระบบเครือข่ายสำนักงานศาลรัฐธรรมนูญ ประจำปีงบประมาณ พ.ศ. 2568 ,"$3,260,000.00 ",13/2568,21/11/2024 0:00,21/11/2024 0:00,20/11/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0001,Rent-PC 210 set งบปี 68 1 เดือน ตค 67,"$271,950.00 ",Jun-68,09/10/2024 0:00,09/10/2024 0:00,31/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0089,บำรุงรักษาเครื่องสำรองไฟฟ้าขนาด 10 KVA ศูนย์ฝนหลวงหัวหิน,"$120,000.00 ",ใบสั่งซื้อเลขที่ TTLPO10030504,19/03/2025 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0055,ซื้อครุภัณฑ์ 67 ผส,"$2,940,000.00 ",Nov-67,15/07/2024 0:00,16/07/2024 0:00,16/09/2024 0:00,,จบงาน/ช่วงรับประกัน
SA68-0039,HW- Power Supply,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0031,SW- Elementor งบปี 69,"$21,935.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0072,ซื้อ Adobe,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0063,ติดตั้งกล้อง 8 ตัว อาชีวรามอินทรา,"$499,000.00 ",ใบสั่งจ้างเลขที่ 21/2567,12/07/2024 0:00,13/07/2024 0:00,19/07/2024 0:00,,จบงาน/ช่วงรับประกัน
SA67-0046,จ้างเหมาบริการโครงการพัฒนายกระดับระบบงานติดตามผู้สำเร็จการศึกษาอาชีวศึกษา ,"$1,196,500.00 ",21/2567,27/09/2024 0:00,28/09/2024 0:00,26/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0050,จ้างเหมาซ่อมแซมเครื่องใช้และอุปกรณ์สำนักงาน ,"$28,569.00 ",ใบสั่งจ้างเลขที่ 177/2567,09/07/2024 0:00,09/07/2024 0:00,08/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0007,งานช่วยลูกค้า,$0.00 ,,,,,,ได้งาน
CC67-0055,จ้างเหมาระบบบริหารจัดการเครือข่ายอินเทอร์เน็ตและเครือข่าย VPN กรมชลประทาน ปีงบประมาณ 2568,"$7,100,000.00 ",ใบสั่งจ้างเลขที่ 3600006734,11/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0011,AP กสอ 69,"$4,506,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0065,ซ่อม UPS 5 unit,"$4,012.50 ",ใบเสนอราคา PJ67-0065,03/07/2024 0:00,03/07/2024 0:00,02/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0012,จ้างซ่อมเครื่องคอมพิวเตอร์,"$3,500.00 ",ใบเสนอราคา CC67-0012,21/08/2024 0:00,22/08/2024 0:00,29/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0007,ระบบติดตามเชิงพื้นที่ 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0018,HW-AccessControl สำนักดิจิทัลเทคโนโลยี ,"$188,373.50 ",3296000215,19/08/2024 0:00,20/08/2024 0:00,20/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0002,MA_ระบบออกใบอนุญาตประกอบโรงงาน Auto กรอ,"$450,000.00 ",Aug-68,11/11/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0022,AR68-0022_Dev พัฒนาระบบฐานข้อมูลเฟส3 69 สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0006,เช่าบริการระบบการประชุมผ่านสื่ออิเล็กทรอนิกส์,"$468,791.96 ",ใบสั่งเช่าเลขที่ ศสช.1/2568,21/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
DT68-0004,งานอบรม/สัมนาภายในบริษัทฯ,$0.00 ,,,,,,ได้งาน
CC67-0093,โครงการจ้างปรับปรุงระบบเครือข่ายคอมพิวเตอร์ห้องศูนย์ข้อมูลสารสนเทศและการสื่อสารฯ และห้องประชุม ชั้น 6 สำนักงานกองทุนฟื้นฟูและพัฒนาเกษตรกร,"$242,355.00 ",35/2567,17/05/2024 0:00,18/05/2024 0:00,16/06/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0022,DLTV6,"$9,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0052,Dev_บริหารจัดการมาตรฐานการจัดเก็บข้อมูล ,"$49,179,800.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0024,HW Ram สอน,"$68,480.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0041,กล้องวงจรปิด 420 unit,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0087,ซื้อวัสดุคอมพิวเตอร์ จำนวน 3 รายการ,"$3,691.50 ",ใบสั่งซื้อเลชที่ พอ.176/2567,05/09/2024 0:00,06/09/2024 0:00,05/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0044,ต่อประกัน Fortinet 2 รายการ,"$149,800.00 ",ใบสั่งซื้อเลขที่ PO24030328,26/03/2024 0:00,26/03/2024 0:00,25/04/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0063,ปรับปรุงข้อมูลคำแนะนำนำการผลิตข้าวเป็นพืชหลัก,"$450,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ1/68,02/10/2024 0:00,03/10/2024 0:00,01/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0022,HW-Config HCI,"$26,750.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0095,SSO บม,"$480,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0100,HW Fortiweb SIEM สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0069,ครุภัณฑ์คอมพิวเตอร์ 68 กรอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0045,DEV-โครงการพัฒนายกระดับระบบงานติดตามผู้สำเร็จการศึกษาอาชีวศึกษา ปี 67,"$5,391,800.00 ",25/2567,08/08/2024 0:00,09/08/2024 0:00,06/11/2024 0:00,,จบงาน/ช่วงรับประกัน
AR68-0023,HW ห้อง Data center สผ,"$37,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0016,MA ระบบสารเคมี,"$112,500.00 ",ใบสั่งจ้างเลขที่ 28/2568,24/12/2024 0:00,25/12/2024 0:00,25/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0046,HW Storage สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
NP68-0005,ซื้อเครื่องปรับอากาศ,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0040,Rent - PC 120 set งบปี 68 เดือน มค-กย 68,"$1,600,560.00 ",9/งป.2568,27/12/2024 0:00,01/01/2025 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0026,MA ระบบใบอนุญาตนำเข้า ส่งออกน้ำตาลทราย ปี 67,"$800,000.00 ",,,,,,นำเสนอ/ติดตาม
TP67-0002,HW-อุปกรณ์รักษาความปลอดภัย Firewall ,"$1,130,000.00 ",30/2567,06/06/2024 0:00,07/06/2024 0:00,06/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0040,License Mcafee,"$112,671.00 ",ใบสั่งซื้อเลขที่ PO24020363,29/02/2024 0:00,29/02/2024 0:00,25/03/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0111,จ้างซ่อมแซมเครื่องพิมพ์ จำนวน 1 เครื่อง,"$8,500.00 ",ส.56/2568,24/03/2025 0:00,25/03/2025 0:00,23/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0010,คอม 6M,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0027,ISO_สผ 69,"$4,500,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0086,โครงการจัดหาระบบสารสนเทศ เพื่อการทำงานการจัดการด้านบัญชี การเงิน พัสดุ งบประมาณ เพื่อการบริหารองค์กร (ระบบ ERP),"$50,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0003,HW-(นำร่อง) 5 จังหวัดชายแดนภาคใต้ งบปี 69,"$88,000,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0079,จ้างซ่อมแซมปรับปรุงโครงข่ายสายสัญญาณและอุปกรณ์โครงข่ายอินเทอร์เน็ต ,"$56,710.00 ",ใบสั่งที่ 237/2567,21/08/2024 0:00,21/08/2024 0:00,20/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0018,MA Firewall huawaii 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0050,HW-Hard Disk Server,"$75,435.00 ",3266000095,27/12/2024 0:00,28/12/2024 0:00,14/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NP68-0008,งานจ้างโครงการปรับปรุงและพัฒนาศูนย์บริการฯ (PESO ระยะ3),"$14,418,400.00 ",,,,,,งานช่วย
SA68-0034,HW- IP Phone กองกิจการ,"$6,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0104,ซ่อม Notebook,"$4,494.00 ",,,,,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0056,จ้างบำรุงรักษาและปรับปรุงประสิทธิภาพคอมพิวเตอร์ จำนวน 9 เครื่อง โครงการระบบติดตามเฝ้าระวังระดับน้ำบาดาลและคุณภาพน้ำบาดาลทั่วประเทศ ประจำปีงบประมาณ พ.ศ.2567,"$41,879.80 ",ใบสั่งจ้างเลขที่ 591/2567,22/08/2024 0:00,23/08/2024 0:00,21/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0055,วัสดุคอมพิวเตอร์ 3 รายการ,"$17,976.00 ",ใบสั่งซื้อเลขที่ พอ.094/2567,17/06/2024 0:00,17/06/2024 0:00,17/07/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0011,ฉลาก,"$7,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0073,HW_HDD SSD กสอ,"$3,500.00 ",DIT-2024-0073,18/07/2024 0:00,19/07/2024 0:00,19/09/2024 0:00,,ได้งาน
AR67-0010,HW ของบ 68 (Server) ผส กรมผู้สูงอายุ,"$387,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0011,MA ลิขสิทธิ์ สอน 68,"$3,558,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0028,"HW-TV 50""","$133,536.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0129,พัฒนาแบบจำลองและออกแบบข้อมูลต้นแบบ,"$499,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ58/68,01/04/2025 0:00,02/04/2025 0:00,01/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0021,งานทดสอบและเชื่อมโยงข้อมูล,$0.00 ,ใบสั่งจ้างเลขที่ ศสส.จ51/67,16/05/2024 0:00,17/05/2024 0:00,15/06/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
KT67-0001,ค่าใช้จ่ายเชื่อมโยงข้อมูลระหว่าง 6 โรงงาน ผ่าน Server ของบริษัทฯ ที่ตั้งอยู่ที่ CAT IDC และ ค่าดูแล และสนันสนุนการใช้งานระบบ,"$513,600.00 ",KT67-0001,14/05/2024 0:00,01/07/2024 0:00,30/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0040,ระบบ PDF,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0031,Dev_เชื่อม API กับใบอนุญาตน้ำตาล มิตรผล,"$870,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0071,ซ่อม Printer 1 unit,"$12,840.00 ",ใบสั่งจ้างเลขที่ 193/2567,23/07/2024 0:00,23/07/2024 0:00,22/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0014,ครุภัณฑ์คอมพิวเตอร์ 68,"$9,870,000.00 ",ศสส.สซ2/68,03/02/2025 0:00,04/02/2025 0:00,03/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0003,เครื่องกำเนิดไฟฟ้า 650KVA,"$120,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0036,HW- Scanner,"$20,800.00 ",,,,,,นำเสนอ/ติดตาม
AP67-0007,ปรับปรุงระบบฝึกอบรม,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0101,UPS Rack Mount Server,"$81,855.00 ",ใบสั่งซื้อเลขที่ PO24090223,26/09/2024 0:00,26/09/2024 0:00,25/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0116,ซ่อมPrinter 1 unit,"$6,206.00 ",ใบสั่งจ้างเลขที่ 36/2568,20/11/2024 0:00,21/11/2024 0:00,20/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0070,Dev_บำรุงรักษาระบบรับสมัครกิจกรรมส่งเสริมการค้าระหว่างประเทศแบบครบวงจร ปีงบประมาณ 2567,"$330,000.00 ",ใบสั่งจ้างเลขที่ 361/67,31/05/2024 0:00,01/06/2024 0:00,30/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0013,สัญญาซื้อขายครุภัณฑ์คอมพิวเตอร์และอุปกรณ์ต่อพ่วงเพื่อเพิ่มประสิทธิภาพการปฏิบัติงานของกรมการข้าว แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร จำนวน 1 ชุด,"$16,827,300.00 ",ศสส.สซ3/68,03/02/2025 0:00,04/02/2025 0:00,03/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NP68-0010,PC Dell,"$33,705.00 ",PO-TPY-2025-06-001,16/06/2025 0:00,16/06/2025 0:00,15/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0108,Data warehouse,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0016,งบบูรณาการ,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0005,DEV-ระบบงานทะเบียนวัดผลนักเรียนนักศึกษา ระดับ ปวช. ปวส.งบปี 69,"$40,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0070,HCI DC+DR ศาล,"$22,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0005,MW-Firewall ปลายปี 67,"$29,425.00 ",SA67-0005,18/09/2024 0:00,18/09/2024 0:00,03/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0077,ครุภัณฑ์ภัณฑ์ห้องประชุม,"$2,980,000.00 ",ศสส.สซ2/67,26/09/2024 0:00,26/09/2024 0:00,25/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0043,ติดตั้งกล้องห้องตรวจข้อสอบ,"$99,820.30 ",ใบสั่งซื้อเลขที่ อว.64.12/2823,19/06/2024 0:00,19/06/2024 0:00,18/08/2024 0:00,,จบงาน/ช่วงรับประกัน
AR68-0057,HW DC&DR-site  งบ68 ศาล,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0097,MA SPO SPB,"$564,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0024,สัญญาจ้างโครงการพัฒนาระบบจดหมายอิล็กทรอนิกส์ (E-Mail Server),"$2,590,000.00 ",13/2568,11/11/2024 0:00,12/11/2024 0:00,11/03/2025 0:00,,จบงาน/ช่วงรับประกัน
PJ67-0073,อุปกรณ์เน็ตเวิร์ค 5 รายการ,"$70,500.00 ",ใบสั่งซื้อเลขที่ พอ.171/2567,29/08/2024 0:00,30/08/2024 0:00,29/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ68-0030,วัสดุคอมพิวเตอร์ 2 รายการ,"$6,955.00 ",ใบสั่งซื้อเลขที่ พอ.101/2568,30/05/2025 0:00,01/06/2025 0:00,15/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
DT68-0006,งานบริหารจัดการตามนโยบายบริษัทฯ,$0.00 ,,,,,,ได้งาน
AR68-0014,UPS 69 กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0024,MA FortiGate-100E,"$69,550.00 ",ใบสั่งซื้อเลขที่ 40/2568,31/01/2025 0:00,01/02/2025 0:00,20/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0025,HW-Firewall Fortigate 40F,"$9,630.00 ",SA68-0025,02/03/2025 0:00,02/03/2025 0:00,31/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0037,HW ซ่อมปริ้นเตอร์ กสอ P455d ฝบท.สล.ศส13-002-0119-61 (Dit 0028),"$7,500.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0024,AR68-0024_Data center 69 สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0119,งานเดินสาย Lan สำหรับต่อหัว IP Phone,"$99,500.00 ",ใบสั่งจ้างเลขที่ 1/25637,14/08/2024 0:00,14/08/2024 0:00,31/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0010,งบประมาณ 69 (security) สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0062,HW ชั้น 1 ห้องสืบค้นฯ ม.สุวรรณภูมิ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0014,Fondue ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0080,HW เดินสายปรับปรุงห้องไฟ ผส,$0.00 ,,,,,,นำเสนอ/ติดตาม
