รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
AP68-0001,จ้างบำรุงรักษาอุปกรณ์สำรองไฟฟ้าสำหรับอุปกรณ์เครือข่าย จำนวน 1 งาน,"$90,000.00 ",ใบสั่งจ้างเลขที่ 68-023,22/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0008,MAระบบ OCPB ยื่นช่วย AIT,$0.00 ,,,,,,งานช่วย
SA68-0021,HW-Wiring UTP อักษร,"$122,204.70 ",3186000928,06/02/2025 0:00,07/02/2025 0:00,20/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
TP68-0016,MA Firewall&Log,"$500,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0075,SW_SQL กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0056,งานจ้างเหมาโครงการพัฒนาและปรับปรุงระบบคอมพิวเตอร์และเครือข่ายสารสนเทศ สำหรับให้บริการแก่เทศบาลนครปากเกร็ด,"$69,871.00 ",เอ็นที พสอ./249,02/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0001,ใช้ในสำนักงาน,$0.00 ,,,,,,ได้งาน
AP67-0005,จัดซื้อเครื่องคอมฯ ,"$7,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0058,MA ระบบห้องประชุมวินิจฉัย 68 ศาล,"$1,200,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0015,HW-HDD ไฟฟ้าราชบุรี,"$20,330.00 ",680020,03/01/2025 0:00,03/01/2025 0:00,21/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0064,UPS APC,"$69,550.00 ",ใบสั่งซื้อเลขที่ PO24070195,15/07/2024 0:00,15/07/2024 0:00,13/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC68-0016,MA_จ้างบำรุงรักษาระบบเทคโนโลยีสารสนเทศอาหารสัตว์ ตำบลบางกะดี อำเภอเมืองปทุมธานี จังหวัดปทุมธานี (ระยะที่ 2) ปีงบประมาณ 2568  ,"$261,800.00 ",สัญญาเลขที่ สอส.45/2568,31/03/2025 0:00,01/04/2025 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0110,สนับสนุนการแข่งขันกอล์ฟการกุศล สมาคมนักเรียนศิษย์เก่าสัตวแพทย์ กรมปศุสัตว์,"$30,000.00 ",ใบเสนอราคาเลขที่ CC67-0110,13/06/2024 0:00,13/06/2024 0:00,12/07/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0022,MA ระบบบริหารสัญญา 68,"$597,000.00 ",4106800018,14/02/2025 0:00,09/05/2025 0:00,08/05/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0018,Dev ระบบ Mobile Application PimD by DPIM กพร,"$3,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0105,MA Firewall ปี 68,"$500,000.00 ",ใบสั่งซื้อ-ใบสั่งจ้าง เล่มที่ 22 เลขที่ 1,31/10/2024 0:00,01/11/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0041,HW - AMS e-Office,"$450,000.00 ",18/2568,18/06/2025 0:00,18/06/2025 0:00,25/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0013,ของบ DIP WAF 69 กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0029,HW ครุภัณฑ์ 67 กสอ,"$9,666,662.00 ",Oct-67,11/06/2024 0:00,12/06/2024 0:00,09/10/2024 0:00,,จบงาน/ช่วงรับประกัน
AP68-0017,MA ระบบ ESPRel วช,"$300,000.00 ",ใบสั่งจ้าเลขที่ 171/2568,27/12/2024 0:00,27/12/2024 0:00,26/12/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0076,จ้างปรับคืนสภาพห้อง DATA CENTER ให้กับกรมพัฒนาสังคมและสวัสดิการ ,"$490,000.00 ",เล่มที่ 33 เลขที่ 8,27/09/2024 0:00,28/09/2024 0:00,12/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0100,ซื้อวัสดุคอมพิวเตอร์ (ฮาร์ดดิสแบบพกพา) จำนวน 3 อัน ,"$8,346.00 ",ใบสั่งซื้อเลจที่ พอ.179/2567,05/09/2024 0:00,06/09/2024 0:00,05/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0003,จ้างบำรุงรักษาระบบเครือข่ายและครุภัณฑ์คอมพิวเตอร์ ประจำปีงบประมาณ พ.ศ.2568 ,"$4,499,000.00 ",ศส.1/2568,31/10/2024 0:00,01/11/2024 0:00,30/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0026,HW-Wiring UTP,"$26,322.00 ",3186000933,06/03/2025 0:00,06/03/2025 0:00,15/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NP68-0006,GoogleWorkspace,$0.00 ,,,,,,นำเสนอ/ติดตาม
